School,Address,Biology,Latitude,Longitude
Fieldcrest High School,"1 Dornbush Drive Minonk, IL 61760",3,40.90196,-89.02833
Monticello High School,"1 Sage Dr Monticello, IL 61856",3,40.01918,-88.57237
Adlai E. Stevenson H.S,"1 Stevenson Drive Lincolnshire, IL 60069 ",3,42.20077,-87.94440
Athens Junior High School,"1 Warrior Way Athens, IL 62613",3,39.96175,-89.71736
Greenville High School,"1000 Illinois 140 Greenville, IL 62246",3,38.90117,-89.39892
Marquette Academy,"1000 Paul Street Ottawa, IL 61350",1,41.35050,-88.83915
Lincoln Community High School,"1000 Primm Rd Lincoln, IL 62656",3,40.13788,-89.35834
Morris Community High School,"1000 Union St Morris, IL 60450 ",3,41.36456,-88.43145
Wesclin High School,"10003 IL-160 Trenton, IL 62293",2,38.56911,-89.68681
Rock Falls High School,"101 12th Avenue  Rock Falls, IL ",3,41.77945,-89.70526
Metamora Township High School,"101 W Madison St Metamora, IL, 61548",3,40.79512,-89.36367
Henry Senachwine High School,"1023 College Avenue Henry, IL 61537",1,41.11690,-89.36825
Monmouth High School,"105 North E Street Monmouth, IL 61462",2,40.91220,-90.65457
Pontiac Township High School,"1100 E Indiana Ave Pontiac, IL 61764",3,40.88789,-88.61648
Clinton High School,"1200 IL-54 Clinton, IL 61727",1,40.14591,-88.97858
Galena High School,"1206 N. Franklin Galena, IL 61036",1,42.42740,-90.44032
Fullerton High School,"1207 12th Ave. Fulton, IL 61252",0,41.86547,-90.15425
Willowbrook High School,"1250 S. Ardmore Avenue Villa Park, IL 60181",3,41.86379,-87.98218
Illinois Valley Central High School,"1300 W. Sycamore Street Chillicothe, IL 61523",3,40.91281,-89.50309
Carbondale Community High School,"1301 E Walnut St Carbondale, IL 62901",2,37.72593,-89.18771
Effingham High School,"1301 W Grove Effingham, IL 62401",1,39.11689,-88.55853
Mascoutah High School Mascoutah CUSD #19,"1313 W Main St Mascoutah, IL ",3,38.49582,-89.81931
Quincy Notre Dame High School,"1400 S 11th St Quincy, IL 62301",3,39.91447,-91.39920
East Peoria Community High School,1401 E. Washington St East Peoria IL 61611,3,40.67068,-89.55787
Rochelle Township High School,"1401 Flagg Road Rochelle, IL 61068",1,41.94206,-89.07726
Carlyle High School,"1461 Twelfth St Carlyle, IL 62231",3,38.61942,-89.37387
Johnston City High School,"1500 Jefferson Ave Johnston City, IL 62951",3,37.82650,-88.92482
Oswego East High School,"1525 HARVEY ROAD Oswego, IL ",3,41.69956,-88.28066
Crystal Lake Central High School,"45 W Franklin St, Crystal Lake, IL 60014",0,42.23711,-88.32251
Hampshire High School,"1600 Big Timber Rd.  Hampshire, IL 60140",2,42.12233,-88.49857
Charleston High School,"1615 Lincoln Ave  Charleston, IL 61920",3,39.48530,-88.16451
Peoria High School,"1615 N. North Street Peoria, IL 61604",3,40.70730,-89.59937
Bismarck-Henning High School,"17268 E 2750 North Rd Bismarck, IL 61814",1,40.26370,-87.62006
Porta Junior High School,"17651 Bluejay Rd Petersburg, IL 62675",3,40.01313,-89.86176
Metea Valley High School,"1801 N Eola Rd Aurora, IL 60502",2,41.79114,-88.23942
Midland High School,"1830 IL-17 Varna, IL 61375",1,41.02705,-89.27779
West Prairie High School,"18575 E 800th St Sciota, IL 61475",0,40.55283,-90.75051
Lincoln Park High School,"2001 North Orchard Street Chicago, IL 60614",2,41.91841,-87.64585
Mt. Carmel High School,"201 Pear Street  Mt. Carmel, IL 62863",0,38.40878,-87.75476
Bement High School,"201 S Champaign St Bement, IL 61813",3,39.92188,-88.56924
Summit Hill High School,"20100 S. Spruce Drive Frankfort, IL 60423",0,41.52681,-87.82068
Lexington High School,"202 E. Greenwich Lexington, IL 61753",3,40.64518,-88.77975
Centralia High School,"2100 E Calumet St  Centralia, IL 62801",3,38.52015,-89.10354
Centralia High School,"2100 E Calumet St  Centralia, IL 62801",3,38.52015,-89.10354
Centralia High School,"2100 E Calumet St  Centralia, IL 62801",3,38.52015,-89.10354
Centralia High School,"2100 E Calumet St  Centralia, IL 62801",3,38.52015,-89.10354
Central High School,"2110 IL-94 Clayton, IL 62324",3,40.06449,-91.02821
Tiopia Junior-Senior High School,"2204 Concord Arenzville Rd Concord, IL 62631",1,39.84001,-90.37329
Atwood Hammond High School,"222 W Magnolia St Atwood, IL 61913",1,39.80638,-88.46485
Reed- Custer High School,"249 Comet Drive Braidwood, IL ",3,41.25816,-88.20765
Mattoon High School,"2521 Walnut Ave Mattoon, IL 61938",1,39.47365,-88.38600
Rockford East High School,"2929 Charles Street Rockford, IL 61108",3,42.25690,-89.04993
Fairfield Community High School,"300 W. King Street Fairfield, Illinois 62837",3,38.37520,-88.36346
Stark County High School,"300 W. Van Buren Wyoming, IL 61491  ",1,41.06512,-89.77566
Minooka Community High School,"301 S. Wabena Avenue Minooka, IL 60447",3,41.44993,-88.26284
Mercer County High School,"307 East Scott Street Seneca, IL  61360",3,41.31516,-88.60318
Seneca High School,"307 East Scott Street Seneca, IL  61360",3,41.31516,-88.60318
Farmington Central High School,"310 S Lightfooft Rd. Farmington, IL 61531",3,40.69362,-89.98143
Morton High School ,"350 N Illinois Ave Morton, IL 61550",1,40.61143,-89.45306
Arcola High School,"351 West Washington Street Arcola, IL 61910",0,39.68391,-88.31649
Kankakee High School,"40 Warren Avenue Kankakee, IL 60901 ",3,41.11726,-87.84651
Villa Grove High School,"400 N Sycamore St.  Villa Grove, IL 61956",2,39.86860,-88.16153
Okawville Jr/Sr High School,"400 S Hanover St Okawville, IL 62271",0,38.42677,-89.54771
Tremont High School,"400 W Pearl St Tremont, IL 61568",1,40.52838,-89.49702
Abington-Avon High School,"401 W. Latimer St. Abingdon, IL 61410",3,40.80529,-90.40294
Blue Ridge High School,"411 N John St Farmer City, IL 61842",1,40.24696,-88.64613
River Ridge High School,"4141 Illinois 84 Hanover, IL 61041",1,42.31199,-90.27068
Jefferson High School,"4145 Samuelson Road Rockford, IL 61109",2,42.20718,-89.03785
Geneva Community High School,"416 McKinley Avenue   Geneva, IL 60134",1,41.89358,-88.31687
Payson-Seymour High School,"420 W Brainard St Payson, IL 62360",3,39.81684,-91.25004
Brownston Jr/Sr. High School,"421 S College Ave Brownstown, IL 62418",2,38.99181,-88.95582
West Caroll High School,"500 Cragmoor Street Savanna, IL 61074",1,42.09575,-90.13343
Brown County High School,"500 East Main Mount Sterling, IL  62353",3,39.98157,-90.75269
University High School,"500 W Gregory Street Normal, IL 61790",1,40.51551,-88.99613
Dunlap High School,"5220 West Legion Hall Road.  Dunalp, IL, 61525",3,40.85421,-89.67585
Iroquois West High School,"529 E. Second  Gilman, IL 60938",0,40.76941,-87.98522
North Greene High School,"546 N Main St White Hall, IL 62092",3,39.44326,-90.40090
Northside College Preparatory ,"5501 N. Kedzie Ave. Chicago, IL 60625",1,41.98124,-87.70767
Woodland High School,"5800 E 3000 North Rd Streator, IL  61364",3,41.06165,-88.81756
Illini West High School,"600 Miller St. Carthage, IL  62321",3,40.42135,-91.13294
Flora High School,"600 S Locust St Flora, IL 62839",3,38.66337,-88.48318
Effingham Junior High School,"600 S. Henrietta Effingham, IL 62401",1,39.11750,-88.55471
A-C Central Junior High School,"601 W Buchanan St Ashland, IL 62612",1,39.89222,-90.01272
Champaign Central High School,"610 W University Ave Champaign, IL 61820",1,40.11658,-88.25342
Maroa-Forsyth High School,"610 W Washington Street Rd Maroa, IL 61756",3,40.03707,-88.96804
Lindblom Math and Science Academy,"6130 S. Wolcott Avenue  Chicago, IL 60636",3,41.78219,-87.67192
Hoopeston Area High School,"615 E Orange St Hoopeston, IL 60942",2,40.45854,-87.66257
Herrin High School,"700 N. 10th St. Herrin, IL 62948",2,37.80981,-89.02204
Paxton-buckley-loda High School,"700 W Orleans St Paxton, IL, 60957",3,40.46079,-88.10738
Bradley-Bourbonnais High School,"700 West North Street Bradley, IL 60915",3,41.14956,-87.86882
Rushville-Industry High School,"730 N Congress St Rushville, IL 62681",3,40.12789,-90.56460
Central Community High School,"7740 Old U.S. 50 Breese, IL 62230",3,38.61161,-89.55894
Olympia High School,"7832 N 100 East Rd Stanford, IL 61774 - 9494",3,40.39572,-89.24586
Hall High School,"800 W. Erie St.  Spring Valley, IL ",1,41.32583,-89.21270
Dwight Township High School,"801 S. Franklin St.  Dwight, IL 60420",3,41.08623,-88.42576
Knoxville High School,"809 E Main St Knoxville, IL 61448",3,40.90739,-90.27601
Benton Consolidated High School,"900 N. Cherry St. West Frankfort, IL. 62896",1,37.90694,-88.90953
Williamsville High School,"900 Walnut Rd Williamsville, IL 62693",3,39.95077,-89.54982
Centennial High School,"913 Crescent Dr Champaign, IL 61821",3,40.10590,-88.28235
Champaign Centennial High School,"913 S. Crescent Dr. Champaign, IL 61821",0,40.10590,-88.28235
Westville High School,"918 N State St Westville, IL 61883",3,40.05141,-87.63884
Armstrong High School,"Armstrong, IL 61812 ",1,40.30643,-87.87781
Lebanon High School,"Lebanon, IL 62254 ",3,38.60394,-89.80732
Midwest Central High School,"Manito, IL 61546 ",0,40.42587,-89.77928
Norris City High School,"Norris City, IL 62869 ",N/A,37.98116,-88.32921
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Address,,,
,"1 Dornbush Drive Minonk, IL 61760",,,
,"1 Sage Dr Monticello, IL 61856",,,
,"1 Stevenson Drive Lincolnshire, IL 60069 ",,,
,"1 Warrior Way Athens, IL 62613",,,
,"1000 Illinois 140 Greenville, IL 62246",,,
,"1000 Paul Street Ottawa, IL 61350",,,
,"1000 Primm Rd Lincoln, IL 62656",,,
,"1000 Union St Morris, IL 60450 ",,,
,"10003 IL-160 Trenton, IL 62293",,,
,"101 12th Avenue  Rock Falls, IL ",,,
,"101 W Madison St Metamora, IL, 61548",,,
,"1023 College Avenue Henry, IL 61537",,,
,"105 North E Street Monmouth, IL 61462",,,
,"1100 E Indiana Ave Pontiac, IL 61764",,,
,"1200 IL-54 Clinton, IL 61727",,,
,"1206 N. Franklin Galena, IL 61036",,,
,"1207 12th Ave. Fulton, IL 61252",,,
,"1250 S. Ardmore Avenue Villa Park, IL 60181",,,
,"1300 W. Sycamore Street Chillicothe, IL 61523",,,
