School/ Coordinates,School,Address,County,Biology,Chemistry,Physics ,Environmental Science ,Engineering ,Latitude,Longitude,Accuracy
"Fieldcrest High School 
1 Dornbush Drive
Minonk, IL 61760",Fieldcrest High School,"1 Dornbush Drive Minonk, IL 61760",Woodford,3,3,3,0,N/A,40.90196,-89.02833,9
"Monticello High School 
1 Sage Dr
Monticello, IL 61856",Monticello High School,"1 Sage Dr Monticello, IL 61856",Piatt,3,3,3,3,N/A,40.01918,-88.57237,9
"Adlai E. Stevenson H.S
1 Stevenson Drive 
Lincolnshire, IL 60069 ",Adlai E. Stevenson H.S,"1 Stevenson Drive Lincolnshire, IL 60069 ",Lake,3,3,3,3,N/A,42.20077,-87.94440,9
"Athens Junior High School 
1 Warrior Way
Athens, IL 62613",Athens Junior High School,"1 Warrior Way Athens, IL 62613",Menard,3,1,3,3,N/A,39.96175,-89.71736,9
"Greenville High School
1000 Illinois 140
Greenville, IL 62246",Greenville High School,"1000 Illinois 140 Greenville, IL 62246",Bond,3,3,3,N/A,N/A,38.90117,-89.39892,9
"Marquette Academy 
1000 Paul Street, 
Ottawa, IL 61350",Marquette Academy,"1000 Paul Street Ottawa, IL 61350",La Salle,1,3,1,N/A,N/A,41.35050,-88.83915,9
"Lincoln Community High School 
1000 Primm Rd
Lincoln, IL 62656",Lincoln Community High School,"1000 Primm Rd Lincoln, IL 62656",Logan,3,3,3,3,N/A,40.13788,-89.35834,8
"Morris Community High School 
1000 Union St
Morris, IL 60450 ",Morris Community High School,"1000 Union St Morris, IL 60450 ",Grundy,3,3,3,3,N/A,41.36456,-88.43145,8
"Wesclin High School 
10003 IL-160
Trenton, IL 62293",Wesclin High School,"10003 IL-160 Trenton, IL 62293",Clinton,2,3,3,1,N/A,38.56911,-89.68681,9
"Rock Falls High School 
101 12th Avenue 
Rock Falls, IL ",Rock Falls High School,"101 12th Avenue  Rock Falls, IL ",Whiteside,3,2,2,2,N/A,41.77945,-89.70526,9
