School/ Coordinates,County,Biology,Chemistry,Physics,Environmental Science,Engineering,Test,New column
"Central High School 
2110 IL-94 
Clayton, IL 62324",Adams,3,3,3,N/A,N/A,*****,
"Payson-Seymour High School 
 420 W Brainard St
Payson, IL 62360",Adams,3,1,3,1,N/A,*****,
"Quincy Notre Dame High School 
 1400 S 11th St
Quincy, IL 62301",Adams,3,3,3,3,N/A,*****,
"Greenville High School
1000 Illinois 140
Greenville, IL 62246",Bond,3,3,3,N/A,N/A,*****,
"Brown County High School 
500 East Main
Mount Sterling, IL  62353",Brown,3,3,3,2,N/A,*****,
"West Caroll High School 
500 Cragmoor Street
Savanna, IL 61074",Carroll,1,2,0,1,N/A,*****,
"A-C Central Junior High School 
 601 W Buchanan St
Ashland, IL 62612",Cass,1,3,3,3,N/A,*****,
"Centennial High School 
913 Crescent Dr
Champaign, IL 61821",Champaign,3,3,3,3,N/A,*****,
"Champaign Centennial High School
913 S. Crescent Dr.
Champaign, IL 61821",Champaign,0,0,3,0,N/A,*****,
"Champaign Central High School 
610 W University Ave
Champaign, IL 61820",Champaign,1,1,3,3,N/A,*****,
"Flora High School 
600 S Locust St
Flora, IL 62839",Clay,3,1,3,N/A,N/A,*****,
"Centralia High School 
2100 E Calumet St 
Centralia, IL 62801",Clinton,3,3,3,3,N/A,*****,
"Carlyle High School 
1461 Twelfth St
Carlyle, IL 62231",Clinton,3,2,3,3,N/A,*****,
"Central Community High School 
7740 Old U.S. 50
Breese, IL 62230",Clinton,3,1,3,N/A,3,*****,
"Wesclin High School 
10003 IL-160
Trenton, IL 62293",Clinton,2,3,3,1,N/A,*****,
"Arcola High School 
351 West Washington Street
Arcola, IL 61910",Coles,0,2,3,1,N/A,*****,
"Charleston High School 
1615 Lincoln Ave 
Charleston, IL 61920",Coles,3,3,3,3,N/A,*****,
"Mattoon High School
2521 Walnut Ave
Mattoon, IL 61938",Coles,1,3,3,1,N/A,*****,
"Lincoln Park High School 
2001 North Orchard Street
Chicago, IL 60614",Cook,2,3,3,1,N/A,*****,
"Lindblom Math and Science Academy 
6130 S. Wolcott Avenue 
Chicago, IL 60636",Cook,3,3,3,3,2,*****,
"Northside College Preparatory 
5501 N. Kedzie Ave.
Chicago, IL 60625",Cook,1,3,3,3,N/A,*****,
"Blue Ridge High School 
411 N John St
Farmer City, IL 61842",DeWitt,1,1,3,1,N/A,*****,
"Clinton High School 
1200 IL-54
Clinton, IL 61727",DeWitt,1,3,3,3,N/A,*****,
"Atwood Hammond High School 
222 W Magnolia St
Atwood, IL 61913",Douglas,1,3,3,3,N/A,*****,
"Villa Grove High School 
400 N Sycamore St, Villa Grove, IL 61956",Douglas,2,3,3,N/A,N/A,*****,
"Willowbrook High School 
1250 S. Ardmore Avenue
Villa Park, IL 60181",DuPage,3,3,3,3,N/A,*****,
"Effingham High School
1301 W Grove
Effingham, IL 62401",Effingham,1,1,1,1,N/A,*****,
"Effingham Junior High School
600 S. Henrietta
Effingham, IL 62401",Effingham,1,1,1,1,N/A,*****,
